timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB], pcie.link.gen.current, pcie.link.width.current
2026/04/26 12:21:32.678, 0, P8, 22 MHz, 405 MHz, 37.93 W, 24, 0 %, 2 MiB, 1, 16
2026/04/26 12:21:32.739, 1, P8, 22 MHz, 405 MHz, 24.06 W, 24, 0 %, 2 MiB, 1, 16
2026/04/26 12:21:32.797, 2, P8, 22 MHz, 405 MHz, 20.05 W, 24, 0 %, 2 MiB, 1, 16
2026/04/26 12:21:32.842, 3, P8, 22 MHz, 405 MHz, 16.86 W, 24, 0 %, 2 MiB, 1, 16
2026/04/26 12:21:32.900, 4, P8, 22 MHz, 405 MHz, 25.88 W, 22, 0 %, 2 MiB, 1, 16
2026/04/26 12:21:32.932, 5, P8, 22 MHz, 405 MHz, 7.53 W, 23, 0 %, 2 MiB, 1, 16
2026/04/26 12:21:32.964, 6, P8, 22 MHz, 405 MHz, 18.32 W, 24, 0 %, 2 MiB, 1, 16
2026/04/26 12:21:33.003, 7, P8, 22 MHz, 405 MHz, 15.06 W, 24, 0 %, 2 MiB, 1, 16
2026/04/26 12:21:34.032, 0, P8, 22 MHz, 405 MHz, 39.00 W, 24, 0 %, 2 MiB, 1, 16
2026/04/26 12:21:34.032, 1, P8, 22 MHz, 405 MHz, 24.41 W, 24, 0 %, 2 MiB, 1, 16
2026/04/26 12:21:34.032, 2, P8, 22 MHz, 405 MHz, 19.76 W, 24, 0 %, 2 MiB, 1, 16
2026/04/26 12:21:34.032, 3, P8, 22 MHz, 405 MHz, 17.43 W, 24, 0 %, 2 MiB, 1, 16
2026/04/26 12:21:34.032, 4, P8, 22 MHz, 405 MHz, 26.35 W, 23, 0 %, 2 MiB, 1, 16
2026/04/26 12:21:34.032, 5, P8, 22 MHz, 405 MHz, 8.26 W, 23, 0 %, 2 MiB, 1, 16
2026/04/26 12:21:34.032, 6, P8, 22 MHz, 405 MHz, 18.32 W, 24, 0 %, 2 MiB, 1, 16
2026/04/26 12:21:34.032, 7, P8, 22 MHz, 405 MHz, 15.24 W, 24, 0 %, 2 MiB, 1, 16
2026/04/26 12:21:35.032, 0, P8, 22 MHz, 405 MHz, 37.77 W, 24, 0 %, 2 MiB, 1, 16
2026/04/26 12:21:35.032, 1, P8, 22 MHz, 405 MHz, 24.06 W, 24, 0 %, 2 MiB, 1, 16
2026/04/26 12:21:35.032, 2, P8, 22 MHz, 405 MHz, 18.82 W, 24, 0 %, 2 MiB, 1, 16
2026/04/26 12:21:35.033, 3, P8, 22 MHz, 405 MHz, 17.32 W, 24, 0 %, 2 MiB, 1, 16
2026/04/26 12:21:35.033, 4, P8, 22 MHz, 405 MHz, 25.02 W, 22, 0 %, 2 MiB, 1, 16
2026/04/26 12:21:35.033, 5, P8, 22 MHz, 405 MHz, 8.32 W, 23, 0 %, 2 MiB, 1, 16
2026/04/26 12:21:35.033, 6, P8, 22 MHz, 405 MHz, 18.29 W, 24, 0 %, 2 MiB, 1, 16
2026/04/26 12:21:35.033, 7, P8, 22 MHz, 405 MHz, 15.11 W, 24, 0 %, 2 MiB, 1, 16
2026/04/26 12:21:36.033, 0, P8, 22 MHz, 405 MHz, 37.97 W, 24, 0 %, 2 MiB, 1, 16
2026/04/26 12:21:36.033, 1, P8, 22 MHz, 405 MHz, 24.10 W, 24, 0 %, 2 MiB, 1, 16
2026/04/26 12:21:36.033, 2, P8, 22 MHz, 405 MHz, 18.83 W, 24, 0 %, 2 MiB, 1, 16
2026/04/26 12:21:36.033, 3, P8, 22 MHz, 405 MHz, 16.91 W, 24, 0 %, 2 MiB, 1, 16
2026/04/26 12:21:36.033, 4, P8, 22 MHz, 405 MHz, 25.58 W, 22, 0 %, 2 MiB, 1, 16
